City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
193,ankang,32.68,109.0172,9.01,20,100,5.61,CN,1674456765
194,coquimbo,-29.9533,-71.3436,15.85,94,0,1.54,CL,1674456766
195,kruisfontein,-34.0033,24.7314,26.07,57,0,3.56,ZA,1674456766
196,burnie,-41.0667,145.9167,22.75,52,1,2.49,AU,1674456766
197,pisco,-13.7,-76.2167,21.03,78,26,1.54,PE,1674456767
198,vila velha,-20.3297,-40.2925,24.97,94,0,1.03,BR,1674456767
199,severo-kurilsk,50.6789,156.125,-9.19,66,61,4.34,RU,1674456767
200,nagato,34.3833,131.2,9.24,73,100,7.35,JP,1674456768
201,sao felix do xingu,-6.6447,-51.995,20.98,98,98,0.32,BR,1674456768
202,oxapampa,-10.5775,-75.4017,13.84,96,100,1.19,PE,1674456768
203,lapua,62.9693,23.0088,-3.62,89,8,4.58,FI,1674456769
204,general roca,-39.0333,-67.5833,22.57,27,0,4.32,AR,1674456769
205,tiarei,-17.5333,-149.3333,23.01,81,100,2.03,PF,1674456769
206,olinda,-8.0089,-34.8553,26.85,74,75,3.09,BR,1674456770
207,longyearbyen,78.2186,15.6401,1.91,64,40,8.75,SJ,1674456770
208,arica,-18.475,-70.3042,21.13,73,0,2.06,CL,1674456722
209,waiuku,-37.25,174.75,21.85,69,2,1.7,NZ,1674456770
210,port blair,11.6667,92.75,29.02,58,40,5.14,IN,1674456771
211,batanovci,42.5997,22.9506,7.27,95,100,1.69,BG,1674456771
212,sao filipe,14.8961,-24.4956,20.63,63,3,4.14,CV,1674456771
213,mastung,29.7994,66.845,1.81,43,0,0.98,PK,1674456772
214,golaghat,26.5167,93.9667,23.97,33,100,2.21,IN,1674456772
215,san quintin,30.4833,-115.95,12.94,75,100,1.12,MX,1674456773
216,sterling,39.0062,-77.4286,3.64,93,100,2.68,US,1674456661
217,grootfontein,-19.5667,18.1167,20.76,78,75,1.54,NA,1674456773
218,dicabisagan,17.0818,122.4157,26.64,72,58,2.5,PH,1674456773
219,dharchula,29.85,80.5333,18.92,11,81,2.95,IN,1674456774
220,georgetown,5.4112,100.3354,31.97,62,20,4.12,MY,1674456684
221,sibu,2.3,111.8167,27.17,89,40,2.57,MY,1674456774
222,puerto madryn,-42.7692,-65.0385,16.4,66,2,4.9,AR,1674456775
223,castro,-24.7911,-50.0119,16.84,93,100,0.18,BR,1674456775
224,pacific grove,36.6177,-121.9166,12.27,46,0,2.57,US,1674456775
225,hastings,50.8552,0.5729,2.96,55,66,4.77,GB,1674456776
226,carutapera,-1.195,-46.02,23.82,93,100,3.23,BR,1674456776
